configuration_id,layer,head,mean_entropy,entropy_p10,entropy_p90,mean_max_weight,mean_self_weight,mean_prev_weight,mean_top1_minus_top2,head_pair_cosine,case_variance_entropy,case_variance_max_weight,low_margin_entropy,high_margin_entropy,low_margin_max_weight,high_margin_max_weight,dist_0,dist_1,dist_2,dist_3,dist_4,dist_5,dist_6,dist_7
L19_SEED_2,8,1,1.90893,1.58796,2.0669,0.238403,0.14688,0.10226,0.0562936,0.866908,0.0539302,0.0150788,1.85261,1.90132,0.279522,0.223524,0.14688,0.10226,0.147744,0.0935695,0.133383,0.109925,0.13721,0.12903
L19_SEED_2,9,0,1.93469,1.81334,2.07694,0.222187,0.113512,0.15582,0.027882,0.685682,0.0153105,0.00440506,1.97275,1.90841,0.208722,0.227235,0.113512,0.15582,0.109371,0.120118,0.115001,0.143713,0.118889,0.123576
L19_SEED_2,9,1,1.7864,1.46068,2.03223,0.253243,0.228189,0.0654304,0.0269763,0.685682,0.0460667,0.00598461,1.7104,1.84314,0.275535,0.230895,0.228189,0.0654304,0.122418,0.114021,0.166483,0.0719797,0.143633,0.0878462
L19_SEED_2,11,0,1.74924,1.24322,2.0585,0.29094,0.0978645,0.13489,0.0811597,0.794144,0.0956444,0.0234756,1.60982,1.78054,0.390767,0.243495,0.0978645,0.13489,0.129604,0.106313,0.0994416,0.146019,0.133781,0.152087
L19_SEED_2,11,1,1.31106,0.607207,1.98274,0.458943,0.0449504,0.161471,0.221934,0.794144,0.268411,0.0532942,1.0809,1.45821,0.609965,0.334294,0.0449504,0.161471,0.137939,0.122044,0.0680107,0.15173,0.142406,0.171448
L19_SEED_2,12,0,1.91995,1.72559,2.05187,0.236106,0.141271,0.128944,0.0376782,0.9686,0.0152658,0.0047072,1.88871,1.94397,0.263125,0.210341,0.141271,0.128944,0.104715,0.120868,0.122504,0.118588,0.13532,0.127789
L19_SEED_2,12,1,1.99015,1.83879,2.07807,0.200305,0.124075,0.13921,0.022871,0.9686,0.00647479,0.00298136,1.98033,2.0058,0.21691,0.183134,0.124075,0.13921,0.115505,0.117561,0.11803,0.126449,0.132405,0.126764
L19_SEED_2,13,0,2.04222,2.02139,2.07707,0.162425,0.137394,0.127319,0.00399312,0.823765,0.0047986,0.00099674,2.02641,2.04101,0.16902,0.16174,0.137394,0.127319,0.120465,0.1154,0.133944,0.126996,0.121232,0.117248
L19_SEED_2,13,1,1.87579,1.5354,2.07038,0.269033,0.0986019,0.148346,0.0761445,0.823765,0.0422574,0.0136966,1.84595,1.87089,0.310095,0.251535,0.0986019,0.148346,0.119445,0.114702,0.100766,0.1482,0.127564,0.142375
L19_SEED_2,14,0,1.76576,1.47157,2.05464,0.273294,0.06785,0.163192,0.039023,0.680504,0.0514003,0.00740075,1.70601,1.76551,0.298048,0.272844,0.06785,0.163192,0.127945,0.128679,0.0936858,0.161322,0.123222,0.134104
