"configuration_id","depth","seed","condition","dose_percent","dataset","steps","example_count","special_example_count","train_finite","final_train_loss","teacher_token_exact","teacher_token_total","teacher_nll","teacher_margin_q10","free_token_exact","free_token_total","free_sequence_exact","free_sequence_total","free_nll","median_first_error","free_margin_q10","ordinary_attention_active","all_finite"
"L19_SEED_1","19","1","CURRICULUM_MIXED_LAST","6.25","HOMOGENEOUS_PHASE0","320","320","20","true","4.036491870880127","22","32","1.871158798308965","-7.7745413780212402","16","32","2","4","4.6906568969305926","1","-13.551300942897797","true","true"
"L19_SEED_2","19","2","CURRICULUM_MIXED_LAST","12.5","AR_DEVELOPMENT_V3","320","320","40","true","0.8573833703994751","131","144","0.38398856707307555","-0.44901452745710102","111","144","18","24","1.7080615374544663","5","-9.3401572863260913","true","true"
"L19_SEED_2","19","2","CURRICULUM_MIXED_LAST","12.5","HOMOGENEOUS_PHASE0","320","320","40","true","0.8573833703994751","30","32","0.3507578184171608","-0.22914139429728189","25","32","3","4","1.9502583889583742","9","-10.041938185691833","true","true"
"L19_SEED_2","19","2","CURRICULUM_MIXED_LAST","6.25","AR_DEVELOPMENT_V3","320","320","20","true","2.2988979816436768","80","144","1.55967085058372","-4.4188351971762518","38","144","1","24","4.7894070605608974","2","-11.790792385737101","true","true"
"L19_SEED_2","19","2","CURRICULUM_MIXED_LAST","6.25","HOMOGENEOUS_PHASE0","320","320","20","true","2.2988979816436768","17","32","1.5644533713787547","-4.1769231955210371","0","32","0","4","6.7410855534853704","1","-10.765835165977478","true","true"
"L19_SEED_4","19","4","CURRICULUM_MIXED_LAST","12.5","AR_DEVELOPMENT_V3","320","320","40","true","0.72271639108657837","137","144","0.34942930686902274","-0.079450573240007677","114","144","18","24","1.2555404133496397","5","-7.7617905497550961","true","true"
"L19_SEED_4","19","4","CURRICULUM_MIXED_LAST","12.5","HOMOGENEOUS_PHASE0","320","320","40","true","0.72271639108657837","32","32","0.31135089178999487","0.32080284754435223","32","32","4","4","0.31135089178999487","9","0.41454315185546875","true","true"
"L19_SEED_4","19","4","CURRICULUM_MIXED_LAST","6.25","AR_DEVELOPMENT_V3","320","320","20","true","2.8611366748809814","84","144","1.4441427329929912","-2.9642018856746808","61","144","6","24","3.1610481034064115","1","-9.7362847099701568","true","true"
"L19_SEED_4","19","4","CURRICULUM_MIXED_LAST","6.25","HOMOGENEOUS_PHASE0","320","320","20","true","2.8611366748809814","19","32","1.4833150124630785","-2.7343075474103293","10","32","1","4","4.9735557099977843","1","-13.013304352760315","true","true"
"L18_SEED_2_CONTROL","18","2","CURRICULUM_MIXED_LAST","12.5","AR_DEVELOPMENT_V3","320","320","40","true","0.48627591133117676","140","144","0.27013833637301271","0.20507597923278809","124","144","20","24","1.4378612007372804","5","-11.038793975114823","true","true"
"L18_SEED_2_CONTROL","18","2","CURRICULUM_MIXED_LAST","12.5","HOMOGENEOUS_PHASE0","320","320","40","true","0.48627591133117676","32","32","0.23618808600441546","0.57626326878865564","32","32","4","4","0.23618808600441546","9","0.63144612312316895","true","true"
"L18_SEED_2_CONTROL","18","2","CURRICULUM_MIXED_LAST","6.25","AR_DEVELOPMENT_V3","320","320","20","true","0.68144518136978149","109","144","0.64645819359349987","-2.0566139136041914","61","144","6","24","3.6131901904341674","2","-12.05817719300588","true","true"
"L18_SEED_2_CONTROL","18","2","CURRICULUM_MIXED_LAST","6.25","HOMOGENEOUS_PHASE0","320","320","20","true","0.68144518136978149","28","32","0.46685733447479127","-1.8503397305806477","18","32","2","4","3.0497673104781158","2","-10.207128424197435","true","true"
