report,checkpoint_step,generate_mode,prefix_index,label,logits_max_abs_error,logits_mean_abs_error,logits_rms_error,logits_max_relative_error,logits_cosine_similarity,logits_cpu_min,logits_cpu_max,logits_cpu_rms,logits_cpu_std,logits_htp_min,logits_htp_max,logits_htp_rms,logits_htp_std,probability_max_abs_error,probability_mean_abs_error,last_argmax_match,top1_margin_cpu,top1_margin_htp,top2_margin_cpu,top2_margin_htp,topk_set_overlap,topk_set_size,delta_mean,delta_median,delta_std,probability_l1_error,probability_js_divergence,logits_cosine_centered,scale_ratio,decision_ambiguous,row_degenerate,topk_order_match,candidate_legacy,candidate_prob,candidate_shape,candidate_decision,candidate_full
seed1-l19-greedy-step1000-max64-run2-result.txt,1000,greedy,12,utf8_emoji_16,0.02947807312,0.003475958199,0.455868098,37.64956618,0.9999971828,-6.333703041,7.657111168,2.466869798,2.343025656,-6.328125,7.6484375,2.464741639,2.340587265,0.001880958676,1.166444555e-05,true,1.712921143,1.7109375,1.861317158,1.859375,5,5,-0.0005991580692,-0.0008261799812,0.003978789281,0.001274101083,3.923992929e-07,0.9999990987,0.9989592985,false,false,true,true,true,true,true,true
seed1-l19-greedy-step1000-max64-run2-result.txt,1000,greedy,13,katakana_12,0.0428122282,0.003297480731,0.4891256605,9.365896965,0.999997337,-4.256851673,4.202301502,2.099988748,1.844117366,-4.265625,4.23828125,2.091859798,1.838108426,0.004197686911,1.370968659e-05,true,0.8792386055,0.880859375,0.9643042088,0.966796875,5,5,0.005964987758,0.008229672909,0.02235158692,0.02976711443,0.0001142655995,0.9999316329,0.9967415631,false,false,true,false,false,false,false,false
seed1-l19-greedy-step1000-max64-run2-result.txt,1000,greedy,14,halfwidth_16,0.02159786224,0.002829511406,0.3379948795,9.365896965,0.9999986182,-3.382844925,5.064370155,1.61237504,1.586196176,-3.384765625,5.07421875,1.615193282,1.589333067,0.002183198929,1.035294264e-05,true,1.127454996,1.12890625,1.237224579,1.25,5,5,0.001498889073,0.001810640097,0.00539743048,0.003266705087,2.562159472e-06,0.9999961737,1.001977619,false,false,true,true,true,false,true,false
seed1-l19-greedy-step1000-max64-run2-result.txt,1000,greedy,15,pseudo_random_32,0.01557636261,0.002482337255,0.2840165458,25.41463829,0.9999988823,-6.552755833,8.007972717,2.690492318,2.647026624,-6.5546875,8.0078125,2.690587052,2.647062285,0.001426592469,7.653053012e-06,true,1.620738983,1.62109375,1.744585514,1.7421875,5,5,-0.0003330868822,-0.0004157721996,0.001927844729,0.0009748696286,2.071959947e-07,0.9999997349,1.000013472,false,false,true,true,true,true,true,true
seed1-l19-greedy-step1000-max64-run2-result.txt,1000,greedy,16,hiragana_9,0.01982975006,0.002610560985,0.3124965448,9.365896965,0.9999987204,-5.104092121,4.220297337,2.857144462,2.515768979,-5.109375,4.21875,2.859498651,2.517237405,0.001221835613,1.034874814e-05,true,0.4851927757,0.478515625,0.4865934849,0.48046875,5,5,-0.002238190478,-0.001953840256,0.003876764792,0.002466760906,1.226999876e-06,0.9999989836,1.000583689,false,false,false,true,true,true,true,true
seed1-l19-greedy-step1000-max64-run2-result.txt,1000,greedy,17,lowercase_31p,0.0139541626,0.002474909775,0.2905312873,1.77400094,0.9999993989,-5.757220268,8.793560028,3.254340085,3.253132925,-5.7578125,8.796875,3.255329605,3.25409276,0.0009371489286,8.950402602e-06,true,1.019950867,1.01953125,1.548539162,1.55078125,5,5,0.001096568551,0.00105150044,0.002843923353,0.00171889703,7.033649203e-07,0.9999996615,1.000295049,false,false,true,true,true,true,true,true
seed1-l19-greedy-step1000-max64-run2-result.txt,1000,greedy,18,invalid_utf8_34,0.02651697397,0.003737613211,0.4761516494,8.90735492,0.999998701,-6.120547295,8.006367683,2.641987611,2.573206567,-6.12109375,8.0078125,2.643262216,2.57486437,0.002916961908,1.115353564e-05,true,0.9650959969,0.9609375,2.737034798,2.734375,5,5,0.001502820799,0.001945257187,0.003308444255,0.002075668523,6.400669781e-07,0.9999993814,1.000644256,false,false,true,true,true,true,true,true
seed1-l19-greedy-step1000-max64-run2-result.txt,1000,greedy,19,leading_ff_8,0.01514101028,0.002622147224,0.3035791255,9.365896965,0.9999984619,-4.2715168,4.560374737,2.318246394,2.02433732,-4.2734375,4.56640625,2.321121405,2.026827506,0.0008703172207,1.05027358e-05,true,0.02396392822,0.02734375,0.1895012856,0.19140625,5,5,-0.001437498575,-0.002353608608,0.003179559558,0.001443639447,5.239053495e-07,0.9999995237,1.001230124,false,false,true,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,greedy,0,japanese_utf8_21,0.01110172272,0.001805898345,0.2088155901,6.098941294,0.9999997766,-5.481416225,4.762990952,3.214332426,2.83693507,-5.48046875,4.76171875,3.212818956,2.835715538,0.001413762569,6.562872499e-06,true,0.2091631889,0.2109375,0.7081661224,0.70703125,5,5,0.0009297842917,0.001237392426,0.00194444646,0.0009958267111,2.031198942e-07,0.9999998574,0.9995701232,false,false,true,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,greedy,1,ascii_26,0.009637117386,0.001396162855,0.1614007277,5.822581413,0.9999996059,-4.871351242,4.983358383,2.117393948,2.111737777,-4.87109375,4.98046875,2.115917816,2.110228551,0.000375404954,5.577137551e-06,true,0.4001832008,0.40234375,0.4805641174,0.48046875,5,5,-0.0003970342948,-0.0003243088722,0.002501682027,0.001758145002,5.892629478e-07,0.9999995534,0.9992853159,false,false,true,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,greedy,2,byte_edges_32,0.01380252838,0.001480954347,0.1776310357,5.141104154,0.9999995847,-5.897118568,4.988694668,2.140560175,2.100265099,-5.89453125,4.9921875,2.141797729,2.101711773,0.001359701157,5.860851408e-06,true,0.1873779297,0.1875,0.2901759148,0.28515625,5,5,0.0009436047985,0.0008718371391,0.003376225153,0.001960045576,8.702733239e-07,0.9999989459,1.000688806,false,false,true,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,greedy,3,truncated_utf8_32,0.01095581055,0.001594611873,0.187181605,2.306032139,0.9999996317,-5.584828854,5.192109108,2.249336086,2.234805178,-5.5859375,5.1875,2.247963977,2.233354082,0.001713573933,6.671562619e-06,true,0.3350901604,0.33203125,0.4003715515,0.3984375,5,5,-0.0006122433406,-0.0006242394447,0.002582245479,0.001782431461,5.770697186e-07,0.999999543,0.9993506834,false,false,true,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,greedy,4,ascii_short_5,0.006815910339,0.001511763031,0.1710113375,1.79981497,0.9999997655,-6.148248196,5.102116108,2.141223322,2.030621141,-6.14453125,5.1015625,2.140846225,2.030366268,0.0003968030214,5.707058008e-06,true,0.3149580956,0.3125,0.4431147575,0.44140625,5,5,0.0004268576158,0.0003990679979,0.001545950211,0.001151284124,2.623837354e-07,0.999999718,0.9998744856,false,false,true,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,greedy,5,japanese_13,0.01224565506,0.001700152555,0.1996420748,0.3877254629,0.9999997285,-5.930194855,6.86978817,3.083519568,2.715614807,-5.9375,6.875,3.08673234,2.718159977,0.002114295959,6.639911706e-06,true,1.769927979,1.7734375,1.993926525,1.99609375,5,5,-0.002050281208,-0.001767039299,0.003372547096,0.001784480416,5.506609856e-07,0.9999996683,1.000937235,false,false,true,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,greedy,6,japanese_32_exact,0.01100635529,0.001794906315,0.2133425968,13.84473029,0.9999997924,-6.129543781,4.717423916,2.214342528,2.151061085,-6.12890625,4.71875,2.214174497,2.15085829,0.002344846725,6.955315923e-06,true,0.2089152336,0.2109375,0.4783215523,0.48046875,5,5,-0.0001220216145,-7.183849812e-05,0.0013399626,0.0008604269573,1.470358962e-07,0.9999998104,0.9999057229,false,false,true,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,greedy,7,japanese_long_48,0.01491880417,0.002263232244,0.2702094642,3.796125316,0.9999997515,-9.018008232,10.38959789,3.786896473,3.386527986,-9.015625,10.3828125,3.783578761,3.383614489,0.002449333668,6.582107284e-06,true,3.344790936,3.34375,3.414955139,3.4140625,5,5,0.001591546614,0.002018034458,0.003646076051,0.0007939171896,2.134757516e-07,0.9999997903,0.9991396801,false,false,true,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,greedy,8,mixed_13_punct,0.009819507599,0.001685989668,0.1961467679,0.3877254629,0.9999997515,-7.811277866,6.566680908,2.705427375,2.534753664,-7.8125,6.5703125,2.706478253,2.5357702,0.001471698284,6.568304084e-06,true,0.04457187653,0.046875,0.8300971985,0.83203125,5,5,-0.0002816944725,-0.0003395080566,0.001537266018,0.001163366425,2.31189181e-07,0.9999998966,1.00040104,false,false,true,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,greedy,9,punctuation_24,0.01114559174,0.001748574513,0.2033074669,1.722308524,0.9999997554,-6.099783897,6.987735271,3.170260764,2.788257957,-6.09765625,6.984375,3.170092985,2.787880059,0.001718223095,6.748663551e-06,true,1.760234833,1.7578125,2.174619198,2.171875,5,5,-0.0003457646817,-0.0004570484161,0.002309709475,0.001379666019,3.840066651e-07,0.999999666,0.9998644683,false,false,true,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,greedy,10,control_whitespace_12,0.01140260696,0.001491645776,0.1714010387,4.883148381,0.9999997407,-8.512418747,8.822248459,3.075352935,2.908280945,-8.5078125,8.8203125,3.073376231,2.906713726,0.00129917264,6.147910434e-06,true,2.069200516,2.0703125,2.388589382,2.390625,5,5,0.001521813065,0.001264214516,0.002971630503,0.0005913267284,1.406451013e-07,0.999999623,0.9994611184,false,false,true,true,true,true,true,true
seed1-l19-greedy-step320-max64-result.txt,320,greedy,11,digits_punct_32,0.01602697372,0.002080152162,0.2537389923,12302.2075,0.9999991937,-1.890242457,1.877883554,0.8366038588,0.791042788,-1.880859375,1.872070312,0.8338765471,0.788830684,0.0008292719722,8.678505875e-06,true,0.2396305799,0.2275390625,0.2418988943,0.2431640625,5,5,0.001955246346,0.003862380981,0.006189761834,0.006470928166,6.188643657e-06,0.9999732213,0.9972035595,false,false,true,true,true,false,true,false
