configuration_id,src_tap,dst_tap,finite,fit_rank,cond,rel_residual_ls,rel_residual_orth,native_dev_tf_exact,transfer_dev_tf_exact,aligned_ls_dev_tf_exact,aligned_orth_dev_tf_exact,recovery_ls,recovery_orth,residual_loss_ls,residual_loss_orth,verdict
L19_SEED_2,b05_AFTER_ATTN,b05_AFTER_FFN,true,16,224220,0.0062311,0.189816,104,95,86,94,0,0,9,1,INFORMATION_LOSS
L19_SEED_2,b05_AFTER_FFN,b06_AFTER_ATTN,true,16,254404,0.00437864,0.067815,102,101,99,101,0,0,2,0,MIXED
L19_SEED_2,b06_AFTER_ATTN,b06_AFTER_FFN,true,16,159838,0.00550333,0.206436,102,91,87,87,0,0,4,4,INFORMATION_LOSS
L19_SEED_2,b06_AFTER_FFN,b07_AFTER_ATTN,true,16,1.17108e+06,0.005584,0.0660313,94,100,118,102,1,1,-18,-2,COORDINATE_TRANSFORM
L19_SEED_2,b07_AFTER_ATTN,b07_AFTER_FFN,true,16,274469,0.00545301,0.133516,99,88,94,88,0,0,-6,0,MIXED
L19_SEED_2,b07_AFTER_FFN,b08_AFTER_ATTN,true,16,324722,0.00305385,0.0641472,94,94,110,95,0,0,-16,-1,MIXED
L19_SEED_2,b08_AFTER_ATTN,b08_AFTER_FFN,true,16,327636,0.00380497,0.143218,94,101,98,99,0.571429,0.714286,3,2,MIXED
L19_SEED_2,b08_AFTER_FFN,b09_AFTER_ATTN,true,16,555010,0.00231378,0.0425612,105,94,91,98,0,0,3,-4,INFORMATION_LOSS
L19_SEED_2,b09_AFTER_ATTN,b09_AFTER_FFN,true,16,419958,0.00306924,0.126289,94,103,105,97,1,0.333333,-2,6,COORDINATE_TRANSFORM
L19_SEED_2,b09_AFTER_FFN,b10_AFTER_ATTN,true,16,480885,0.00216698,0.0483005,102,93,101,98,0,0,-8,-5,MIXED
L19_SEED_2,b10_AFTER_ATTN,b10_AFTER_FFN,true,16,791770,0.00340101,0.0831777,102,102,99,91,0,0,3,11,INFORMATION_LOSS
L19_SEED_2,b10_AFTER_FFN,b11_AFTER_ATTN,true,16,544829,0.00466099,0.0580373,92,91,112,91,0,0,-21,0,MIXED
L19_SEED_2,b11_AFTER_ATTN,b11_AFTER_FFN,true,16,227785,0.00313104,0.103017,103,92,99,87,0,0,-7,5,MIXED
L19_SEED_2,b11_AFTER_FFN,b12_AFTER_ATTN,true,16,301005,0.00284264,0.0538638,102,92,92,93,0,0,0,-1,MIXED
L19_SEED_2,b12_AFTER_ATTN,b12_AFTER_FFN,true,16,456506,0.00518304,0.12406,102,98,92,98,0,0,6,0,INFORMATION_LOSS
L19_SEED_2,b12_AFTER_FFN,b13_AFTER_ATTN,true,16,467068,0.00208285,0.0422492,87,103,77,102,0,0.9375,26,1,INFORMATION_LOSS
L19_SEED_2,b13_AFTER_ATTN,b13_AFTER_FFN,true,16,919459,0.00365359,0.0974345,98,97,89,97,0,0,8,0,INFORMATION_LOSS
L19_SEED_2,b13_AFTER_FFN,b14_AFTER_ATTN,true,16,1.00156e+06,0.00350951,0.0565581,87,87,100,86,0,0,-13,1,MIXED
L19_SEED_2,b14_AFTER_ATTN,b14_AFTER_FFN,true,16,545147,0.00319605,0.0942987,88,87,70,91,0,0,17,-4,INFORMATION_LOSS
L19_SEED_2,b14_AFTER_FFN,b15_AFTER_ATTN,true,16,621244,0.00391454,0.0496329,88,98,80,90,0,0.2,18,8,INFORMATION_LOSS
