configuration_id,src_tap,dst_tap,pair_kind,variant,src_probe_dev_tf_exact,transfer_dev_tf_exact,delta_vs_src,dst_probe_dev_tf_exact,delta_vs_dst
L19_SEED_2,b03_AFTER_ATTN,b03_AFTER_FFN,coarse,raw,116,112,-4,119,-7
L19_SEED_2,b03_AFTER_FFN,b04_NORM1,fine,raw,119,117,-2,125,-8
L19_SEED_2,b03_AFTER_FFN,b04_AFTER_ATTN,coarse,norm,119,106,-13,117,-11
L19_SEED_2,b03_AFTER_FFN,b04_AFTER_ATTN,coarse,raw,119,106,-13,117,-11
L19_SEED_2,b04_NORM1,b04_ATT_UPDATE,fine,raw,125,9,-116,42,-33
L19_SEED_2,b04_ATT_UPDATE,b04_AFTER_ATTN,fine,raw,42,51,9,117,-66
L19_SEED_2,b04_AFTER_ATTN,b04_NORM2,fine,raw,117,115,-2,126,-11
L19_SEED_2,b04_AFTER_ATTN,b04_AFTER_FFN,coarse,norm,117,124,7,106,18
L19_SEED_2,b04_AFTER_ATTN,b04_AFTER_FFN,coarse,raw,117,124,7,106,18
L19_SEED_2,b04_NORM2,b04_FFN_UPDATE,fine,raw,126,69,-57,131,-62
L19_SEED_2,b04_FFN_UPDATE,b04_AFTER_FFN,fine,raw,131,125,-6,106,19
L19_SEED_2,b04_AFTER_FFN,b05_AFTER_ATTN,coarse,norm,106,103,-3,103,0
L19_SEED_2,b04_AFTER_FFN,b05_AFTER_ATTN,coarse,raw,106,104,-2,103,1
L19_SEED_2,b05_AFTER_ATTN,b05_AFTER_FFN,coarse,norm,103,95,-8,104,-9
L19_SEED_2,b05_AFTER_ATTN,b05_AFTER_FFN,coarse,raw,103,107,4,104,3
L19_SEED_2,b05_AFTER_FFN,b06_AFTER_ATTN,coarse,norm,104,101,-3,102,-1
L19_SEED_2,b05_AFTER_FFN,b06_AFTER_ATTN,coarse,raw,104,101,-3,102,-1
L19_SEED_2,b06_AFTER_ATTN,b06_AFTER_FFN,coarse,norm,102,91,-11,102,-11
L19_SEED_2,b06_AFTER_ATTN,b06_AFTER_FFN,coarse,raw,102,115,13,102,13
L19_SEED_2,b06_AFTER_FFN,b07_AFTER_ATTN,coarse,norm,102,100,-2,94,6
L19_SEED_2,b06_AFTER_FFN,b07_AFTER_ATTN,coarse,raw,102,104,2,94,10
L19_SEED_2,b07_AFTER_ATTN,b07_AFTER_FFN,coarse,norm,94,88,-6,99,-11
L19_SEED_2,b07_AFTER_ATTN,b07_AFTER_FFN,coarse,raw,94,99,5,99,0
L19_SEED_2,b07_AFTER_FFN,b08_NORM1,fine,raw,99,81,-18,107,-26
L19_SEED_2,b07_AFTER_FFN,b08_AFTER_ATTN,coarse,norm,99,94,-5,94,0
L19_SEED_2,b07_AFTER_FFN,b08_AFTER_ATTN,coarse,raw,99,94,-5,94,0
L19_SEED_2,b08_NORM1,b08_ATT_UPDATE,fine,raw,107,6,-101,31,-25
L19_SEED_2,b08_ATT_UPDATE,b08_AFTER_ATTN,fine,raw,31,50,19,94,-44
L19_SEED_2,b08_AFTER_ATTN,b08_NORM2,fine,raw,94,73,-21,105,-32
L19_SEED_2,b08_AFTER_ATTN,b08_AFTER_FFN,coarse,norm,94,101,7,94,7
L19_SEED_2,b08_AFTER_ATTN,b08_AFTER_FFN,coarse,raw,94,97,3,94,3
L19_SEED_2,b08_NORM2,b08_FFN_UPDATE,fine,raw,105,36,-69,115,-79
L19_SEED_2,b08_FFN_UPDATE,b08_AFTER_FFN,fine,raw,115,91,-24,94,-3
L19_SEED_2,b08_AFTER_FFN,b09_AFTER_ATTN,coarse,norm,94,94,0,105,-11
L19_SEED_2,b08_AFTER_FFN,b09_AFTER_ATTN,coarse,raw,94,88,-6,105,-17
L19_SEED_2,b09_AFTER_ATTN,b09_AFTER_FFN,coarse,norm,105,103,-2,94,9
L19_SEED_2,b09_AFTER_ATTN,b09_AFTER_FFN,coarse,raw,105,104,-1,94,10
L19_SEED_2,b09_AFTER_FFN,b10_AFTER_ATTN,coarse,norm,94,93,-1,102,-9
L19_SEED_2,b09_AFTER_FFN,b10_AFTER_ATTN,coarse,raw,94,88,-6,102,-14
L19_SEED_2,b10_AFTER_ATTN,b10_AFTER_FFN,coarse,norm,102,102,0,102,0
L19_SEED_2,b10_AFTER_ATTN,b10_AFTER_FFN,coarse,raw,102,103,1,102,1
L19_SEED_2,b10_AFTER_FFN,b11_AFTER_ATTN,coarse,norm,102,91,-11,92,-1
L19_SEED_2,b10_AFTER_FFN,b11_AFTER_ATTN,coarse,raw,102,90,-12,92,-2
L19_SEED_2,b11_AFTER_ATTN,b11_AFTER_FFN,coarse,norm,92,92,0,103,-11
L19_SEED_2,b11_AFTER_ATTN,b11_AFTER_FFN,coarse,raw,92,103,11,103,0
L19_SEED_2,b11_AFTER_FFN,b12_NORM1,fine,raw,103,32,-71,103,-71
L19_SEED_2,b11_AFTER_FFN,b12_AFTER_ATTN,coarse,norm,103,92,-11,102,-10
L19_SEED_2,b11_AFTER_FFN,b12_AFTER_ATTN,coarse,raw,103,92,-11,102,-10
L19_SEED_2,b12_NORM1,b12_ATT_UPDATE,fine,raw,103,24,-79,28,-4
L19_SEED_2,b12_ATT_UPDATE,b12_AFTER_ATTN,fine,raw,28,48,20,102,-54
L19_SEED_2,b12_AFTER_ATTN,b12_NORM2,fine,raw,102,33,-69,101,-68
L19_SEED_2,b12_AFTER_ATTN,b12_AFTER_FFN,coarse,norm,102,98,-4,102,-4
L19_SEED_2,b12_AFTER_ATTN,b12_AFTER_FFN,coarse,raw,102,108,6,102,6
L19_SEED_2,b12_NORM2,b12_FFN_UPDATE,fine,raw,101,64,-37,96,-32
L19_SEED_2,b12_FFN_UPDATE,b12_AFTER_FFN,fine,raw,96,69,-27,102,-33
L19_SEED_2,b12_AFTER_FFN,b13_AFTER_ATTN,coarse,norm,102,103,1,87,16
L19_SEED_2,b12_AFTER_FFN,b13_AFTER_ATTN,coarse,raw,102,102,0,87,15
L19_SEED_2,b13_AFTER_ATTN,b13_AFTER_FFN,coarse,norm,87,97,10,98,-1
L19_SEED_2,b13_AFTER_ATTN,b13_AFTER_FFN,coarse,raw,87,99,12,98,1
L19_SEED_2,b13_AFTER_FFN,b14_AFTER_ATTN,coarse,norm,98,87,-11,87,0
L19_SEED_2,b13_AFTER_FFN,b14_AFTER_ATTN,coarse,raw,98,86,-12,87,-1
L19_SEED_2,b14_AFTER_ATTN,b14_AFTER_FFN,coarse,norm,87,87,0,88,-1
L19_SEED_2,b14_AFTER_ATTN,b14_AFTER_FFN,coarse,raw,87,96,9,88,8
L19_SEED_2,b14_AFTER_FFN,b15_AFTER_ATTN,coarse,norm,88,98,10,88,10
L19_SEED_2,b14_AFTER_FFN,b15_AFTER_ATTN,coarse,raw,88,97,9,88,9
L19_SEED_2,b15_AFTER_ATTN,b15_AFTER_FFN,coarse,norm,88,87,-1,87,0
L19_SEED_2,b15_AFTER_ATTN,b15_AFTER_FFN,coarse,raw,88,92,4,87,5
L19_SEED_2,b15_AFTER_FFN,b16_NORM1,fine,raw,87,12,-75,97,-85
L19_SEED_2,b15_AFTER_FFN,b16_AFTER_ATTN,coarse,norm,87,84,-3,85,-1
L19_SEED_2,b15_AFTER_FFN,b16_AFTER_ATTN,coarse,raw,87,96,9,85,11
L19_SEED_2,b16_NORM1,b16_ATT_UPDATE,fine,raw,97,13,-84,6,7
L19_SEED_2,b16_ATT_UPDATE,b16_AFTER_ATTN,fine,raw,6,25,19,85,-60
L19_SEED_2,b16_AFTER_ATTN,b16_NORM2,fine,raw,85,12,-73,93,-81
L19_SEED_2,b16_AFTER_ATTN,b16_AFTER_FFN,coarse,norm,85,84,-1,86,-2
L19_SEED_2,b16_AFTER_ATTN,b16_AFTER_FFN,coarse,raw,85,97,12,86,11
L19_SEED_2,b16_NORM2,b16_FFN_UPDATE,fine,raw,93,51,-42,77,-26
L19_SEED_2,b16_FFN_UPDATE,b16_AFTER_FFN,fine,raw,77,60,-17,86,-26
L19_SEED_2,b16_AFTER_FFN,b17_AFTER_ATTN,coarse,norm,86,85,-1,93,-8
L19_SEED_2,b16_AFTER_FFN,b17_AFTER_ATTN,coarse,raw,86,94,8,93,1
L19_SEED_2,b17_AFTER_ATTN,b17_AFTER_FFN,coarse,norm,93,93,0,91,2
L19_SEED_2,b17_AFTER_ATTN,b17_AFTER_FFN,coarse,raw,93,93,0,91,2
L19_SEED_2,b17_AFTER_FFN,b18_NORM1,fine,raw,91,12,-79,93,-81
L19_SEED_2,b17_AFTER_FFN,b18_AFTER_ATTN,coarse,norm,91,89,-2,84,5
L19_SEED_2,b17_AFTER_FFN,b18_AFTER_ATTN,coarse,raw,91,90,-1,84,6
L19_SEED_2,b18_NORM1,b18_ATT_UPDATE,fine,raw,93,16,-77,17,-1
L19_SEED_2,b18_ATT_UPDATE,b18_AFTER_ATTN,fine,raw,17,17,0,84,-67
L19_SEED_2,b18_AFTER_ATTN,b18_NORM2,fine,raw,84,12,-72,91,-79
