configuration_id,tap_id,tap_name,kind,block,dim,selected_step,finite,train_tf_token_exact,cal_tf_token_exact,dev_tf_token_exact,dev_tf_mean_rank,dev_tf_mean_nll,dev_tf_mean_margin,dev_tf_margin_q10,dev_tf_top2,dev_tf_top3
L19_SEED_1,65,b09_FFN_UPDATE,FFN_UPDATE,9,16,100,true,28,108,112,1.56944444444,0.886685221761,0.65699890101,-3.19474488494,128,137
L19_SEED_1,66,b09_AFTER_FFN,AFTER_FFN,9,16,75,true,29,103,107,1.53472222222,0.938180415316,0.658793653883,-3.35480425994,123,133
L19_SEED_1,67,b10_NORM1,NORM1,10,16,75,true,28,107,115,1.46527777778,0.899375436289,0.694815595461,-3.20248800919,125,134
L19_SEED_1,68,b10_ATT_UPDATE,ATT_UPDATE,10,16,50,true,28,46,50,6.59722222222,2.61390686876,-1.47671793372,-8.01095458707,82,100
L19_SEED_1,69,b10_AFTER_ATTN,AFTER_ATTN,10,16,75,true,29,101,104,1.58333333333,0.98649419449,0.594112942108,-3.60053979552,121,132
L19_SEED_1,70,b10_NORM2,NORM2,10,16,75,true,28,98,103,1.625,1.00578126529,0.557137011775,-3.71636640623,121,133
L19_SEED_1,71,b10_FFN_UPDATE,FFN_UPDATE,10,16,125,true,28,105,109,1.54166666667,0.912418619286,0.634522721711,-3.25710703234,128,133
L19_SEED_1,72,b10_AFTER_FFN,AFTER_FFN,10,16,75,true,29,100,106,1.5625,0.964161632891,0.61858612011,-3.42845573265,121,133
L19_SEED_1,73,b11_NORM1,NORM1,11,16,75,true,28,98,103,1.625,1.00806256704,0.563641986665,-3.69421941023,121,133
L19_SEED_1,74,b11_ATT_UPDATE,ATT_UPDATE,11,16,75,true,31,53,55,4.75694444444,2.37827859136,-1.31799158084,-7.85268778765,99,102
L19_SEED_1,75,b11_AFTER_ATTN,AFTER_ATTN,11,16,75,true,29,99,104,1.61805555556,1.03336398336,0.522579338317,-3.84813217801,121,131
L19_SEED_1,76,b11_NORM2,NORM2,11,16,75,true,28,96,101,1.6875,1.09958305531,0.453933154885,-4.14224489457,120,130
L19_SEED_1,77,b11_FFN_UPDATE,FFN_UPDATE,11,16,125,true,29,89,96,1.61111111111,0.969202035479,0.495266519042,-3.46158092049,125,133
L19_SEED_1,78,b11_AFTER_FFN,AFTER_FFN,11,16,75,true,29,99,105,1.61111111111,1.00416828323,0.536413012738,-3.61832818417,122,132
L19_SEED_1,79,b12_NORM1,NORM1,12,16,75,true,28,95,101,1.70138888889,1.08862804361,0.480426611303,-4.07926851573,120,130
L19_SEED_1,80,b12_CTX,CTX,12,16,25,true,29,34,29,5.0625,2.34663780332,-0.940768079894,-4.33726712861,75,91
L19_SEED_1,81,b12_ATT_UPDATE,ATT_UPDATE,12,16,25,true,29,38,37,5.04166666667,2.33595183781,-0.861586668673,-4.44410733299,88,98
L19_SEED_1,82,b12_AFTER_ATTN,AFTER_ATTN,12,16,50,true,28,103,107,1.625,1.07400324856,0.491019852703,-2.99819029747,121,130
L19_SEED_1,83,b12_NORM2,NORM2,12,16,50,true,28,90,93,1.76388888889,1.15391798732,0.398842107938,-3.47287456397,120,129
L19_SEED_1,84,b12_FFN_UPDATE,FFN_UPDATE,12,16,100,true,26,100,109,1.75,1.08685821167,0.502448181819,-4.22541389794,120,131
L19_SEED_1,85,b12_AFTER_FFN,AFTER_FFN,12,16,75,true,29,97,104,1.65972222222,1.02807398386,0.528744724907,-3.76647080049,121,130
L19_SEED_1,86,b12_RELU,RELU,12,32,25,true,28,19,18,5.95833333333,2.76764478862,-1.81960601366,-6.32721922147,55,78
L19_SEED_1,87,b13_NORM1,NORM1,13,16,50,true,28,90,93,1.76388888889,1.14818430041,0.410142392729,-3.39621169746,120,130
L19_SEED_1,88,b13_ATT_UPDATE,ATT_UPDATE,13,16,25,true,23,26,22,8.56944444444,2.92828971587,-1.34073355684,-5.60924436226,49,59
L19_SEED_1,89,b13_AFTER_ATTN,AFTER_ATTN,13,16,50,true,28,94,99,1.70138888889,1.11825884244,0.436180443003,-3.22052045671,121,129
L19_SEED_1,90,b13_NORM2,NORM2,13,16,50,true,28,89,92,1.79861111111,1.19780806358,0.334537788322,-3.60366800417,120,129
