"family_id","configuration_id","partition","step","token_exact","token_total","sequence_exact","sequence_total","autoregressive_nll","median_first_error_survival","lower_tail_margin_q10","all_finite"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","64","44","144","5","24","4.4756895134577501","1","-11.373934586842855","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","80","52","144","6","24","3.6616237748149953","1","-10.253482604026795","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","96","55","144","7","24","3.6627887030423318","1","-11.128986340761184","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","128","59","144","8","24","4.2411641019761763","1","-14.269524097442627","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","160","58","144","8","24","4.6447041436455834","2","-15.660703436533611","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","192","60","144","8","24","4.8772436693435237","1","-16.465821202596029","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","224","59","144","8","24","5.0578281752913403","1","-17.114257303873696","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","256","59","144","8","24","5.2061639746342614","1","-17.645524056752524","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","288","59","144","8","24","5.5380001978663778","1","-18.255023066202799","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","304","59","144","8","24","5.5971945245677288","1","-18.459689617156982","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_CALIBRATION_V1","320","55","144","7","24","5.9282341067680306","1","-18.649948279062908","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","0","15","144","0","24","3.4714592329373621","1","-0.68008235891660052","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","4","19","144","0","24","3.3373982953008858","1","-0.72630647569894791","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","8","20","144","0","24","3.2382327576601391","1","-1.5035711268583933","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","12","22","144","0","24","3.1413633126336138","1","-2.3646308382352195","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","16","29","144","0","24","3.0182313632109032","1","-2.7526275714238486","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","20","27","144","0","24","2.9586498058093267","1","-3.3659858067830402","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","24","27","144","3","24","2.9077905650853726","1","-3.6749644835789996","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","28","42","144","4","24","2.7727496222294743","1","-4.0484947284062702","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","32","41","144","5","24","2.7921384464093415","1","-4.2525666276613867","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","36","48","144","4","24","2.3598736490333123","1","-3.7156140645345053","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","40","54","144","6","24","2.6443365287696903","1","-6.0118828058242801","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","48","53","144","6","24","2.2799759578130994","1","-4.7152831953018906","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","56","45","144","4","24","2.4745482203891473","1","-5.2275422231604658","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","64","47","144","4","24","3.5245101154234324","1","-10.304256836573282","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","80","56","144","7","24","3.3093847360801694","1","-8.8794824282328282","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","96","54","144","5","24","3.8305399971784362","1","-10.313402366638183","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","128","60","144","7","24","3.946580130261768","1","-11.842569224039714","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","160","61","144","7","24","4.2480872490551489","1","-13.163820870717366","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","192","60","144","7","24","4.6751375828987918","1","-14.415565745035808","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","224","58","144","7","24","5.1237620054840765","1","-16.141630744934083","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","256","58","144","7","24","5.2929564922045627","1","-16.733433802922566","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","288","58","144","7","24","5.3485408508865282","1","-16.944949277242024","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","304","58","144","7","24","5.4114417909530994","1","-17.166206947962444","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_2","MARGIN_DEVELOPMENT_V1","320","59","144","7","24","5.3884801516995653","1","-16.858438682556152","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","0","3","144","0","24","3.476863532916759","1","-0.54546849926312768","true"
