"configuration_id","partition","step","token_exact","token_total","sequence_exact","sequence_total","autoregressive_nll","median_first_error_survival","lower_tail_margin_q10","all_finite"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","28","25","144","0","24","3.4181907314224484","1","-7.3754767934481302","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","32","22","144","0","24","5.0476544287925229","1","-11.231072743733725","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","36","36","144","4","24","5.4658211509722072","1","-11.374897575378418","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","40","36","144","4","24","4.62942518522288","1","-10.375303745269775","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","48","14","144","0","24","3.9738455381446585","1","-8.8635114192962643","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","56","35","144","2","24","3.7314182150267792","1","-7.9159437646468485","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","64","34","144","2","24","3.7030494598538795","1","-8.7289698084195457","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","80","48","144","5","24","4.0530564855672075","1","-10.356023335456848","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","96","40","144","5","24","4.2014646333464816","1","-11.298566889762878","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","128","52","144","7","24","5.1866340062425031","1","-15.214366761843364","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","160","49","144","7","24","6.0301592547002727","1","-17.40134778022766","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","192","51","144","8","24","6.1762361384482807","1","-18.695137834548952","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","224","52","144","8","24","6.4441723951559489","1","-19.624339707692464","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","256","52","144","8","24","6.6957640708305952","1","-20.404173564910888","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","288","54","144","8","24","6.6311077408210464","2","-20.902008231480917","true"
"L18_SEED_2_CONTROL","MARGIN_CALIBRATION_V1","320","54","144","8","24","6.7455517100879607","2","-21.717844645182293","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","0","11","144","0","24","3.4796623797912329","1","-0.65028085509936018","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","4","29","144","0","24","3.2197527055581228","1","-0.65085273906588559","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","8","21","144","0","24","3.0370334343036243","1","-1.9968467394510905","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","12","21","144","0","24","2.9215610206016374","1","-3.1617051402727765","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","16","26","144","0","24","2.3573604857707564","1","-2.243327069230145","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","20","36","144","3","24","2.1304518981250777","1","-2.1128248579800131","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","24","39","144","5","24","2.7375810456226404","1","-5.4189557989438377","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","28","33","144","0","24","2.2684240472230566","1","-3.6236485982934634","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","32","22","144","0","24","4.3706729953671308","1","-10.445137087504069","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","36","39","144","5","24","4.8123570807412932","1","-10.903183205922444","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","40","46","144","3","24","3.5887994772656646","1","-9.0882838090260822","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","48","24","144","0","24","2.8666510884983945","1","-6.6511090874671934","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","56","37","144","2","24","2.9376611604219223","1","-6.7591388662656149","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","64","37","144","2","24","3.0293305408601001","2","-7.6802641530831659","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","80","52","144","5","24","3.2013843694770308","2","-8.6307832206288975","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","96","50","144","6","24","3.6139438345522836","2","-9.6681344449520115","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","128","63","144","8","24","3.70515521954154","2","-11.931102633476257","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","160","61","144","9","24","4.3738464791676144","2","-13.937146608034769","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","192","57","144","9","24","4.8320432038838668","2","-14.872114896774292","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","224","59","144","9","24","4.9975296987351676","2","-15.649722162882487","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","256","59","144","9","24","5.2211022539899359","2","-16.28825019200643","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","288","60","144","9","24","5.3508928397573596","2","-16.817510875066123","true"
"L18_SEED_2_CONTROL","MARGIN_DEVELOPMENT_V1","320","60","144","9","24","5.6041387784705003","2","-17.532106749216716","true"
