"configuration_id","objective","priority","selected_step","score","calibration_token_exact","calibration_sequence_exact","development_token_exact","development_sequence_exact","development_nll","development_median_survival","development_lower_tail_margin_q10","delta_token_exact_vs_final","delta_sequence_exact_vs_final"
"L19_SEED_2","SOFT_WORST_MARGIN_T05","6","0","0.30569122921283598","18","0","15","0","3.4714592329373621","1","-0.68008235891660052","-50","-9"
"L19_SEED_2","SOFT_WORST_MARGIN_T1","7","0","0.29303808323522063","18","0","15","0","3.4714592329373621","1","-0.68008235891660052","-50","-9"
"L19_SEED_2","SEQUENCE_SURVIVAL_NLL_T025","8","0","8.6748342172144888","18","0","15","0","3.4714592329373621","1","-0.68008235891660052","-50","-9"
"L19_SEED_2","SEQUENCE_SURVIVAL_NLL_T05","9","0","6.1375041381228934","18","0","15","0","3.4714592329373621","1","-0.68008235891660052","-50","-9"
"L19_SEED_2","SEQUENCE_SURVIVAL_NLL_T1","10","0","5.0635408306735661","18","0","15","0","3.4714592329373621","1","-0.68008235891660052","-50","-9"
"L19_SEED_2","FIRST_ERROR_HAZARD_INV_POSITION","11","0","0.28722747097170004","18","0","15","0","3.4714592329373621","1","-0.68008235891660052","-50","-9"
"L19_SEED_4","MARGIN_DEFICIT_MEAN_D0","0","0","0.27374672730618638","3","0","2","0","3.4829463685813224","1","-0.59163200656572978","-84","-12"
"L19_SEED_4","MARGIN_DEFICIT_MEAN_D025","1","0","0.52278380795754253","3","0","2","0","3.4829463685813224","1","-0.59163200656572978","-84","-12"
"L19_SEED_4","MARGIN_DEFICIT_MEAN_D05","2","0","0.77278380795754253","3","0","2","0","3.4829463685813224","1","-0.59163200656572978","-84","-12"
"L19_SEED_4","LOWER_TAIL_MARGIN_Q10","3","0","0.54546849926312768","3","0","2","0","3.4829463685813224","1","-0.59163200656572978","-84","-12"
"L19_SEED_4","LOWER_TAIL_MARGIN_Q20","4","0","0.48022541352387133","3","0","2","0","3.4829463685813224","1","-0.59163200656572978","-84","-12"
"L19_SEED_4","SOFT_WORST_MARGIN_T025","5","0","0.30721730044822365","3","0","2","0","3.4829463685813224","1","-0.59163200656572978","-84","-12"
"L19_SEED_4","SOFT_WORST_MARGIN_T05","6","0","0.29004388255707941","3","0","2","0","3.4829463685813224","1","-0.59163200656572978","-84","-12"
"L19_SEED_4","SOFT_WORST_MARGIN_T1","7","0","0.28141291540635999","3","0","2","0","3.4829463685813224","1","-0.59163200656572978","-84","-12"
"L19_SEED_4","SEQUENCE_SURVIVAL_NLL_T025","8","0","8.4597892355478361","3","0","2","0","3.4829463685813224","1","-0.59163200656572978","-84","-12"
"L19_SEED_4","SEQUENCE_SURVIVAL_NLL_T05","9","0","6.0714078431733887","3","0","2","0","3.4829463685813224","1","-0.59163200656572978","-84","-12"
"L19_SEED_4","SEQUENCE_SURVIVAL_NLL_T1","10","0","5.0476312963743144","3","0","2","0","3.4829463685813224","1","-0.59163200656572978","-84","-12"
"L19_SEED_4","FIRST_ERROR_HAZARD_INV_POSITION","11","0","0.27124934333847361","3","0","2","0","3.4829463685813224","1","-0.59163200656572978","-84","-12"
"L18_SEED_2_CONTROL","MARGIN_DEFICIT_MEAN_D0","0","0","0.27350661851879621","14","0","11","0","3.4796623797912329","1","-0.65028085509936018","-49","-9"
"L18_SEED_2_CONTROL","MARGIN_DEFICIT_MEAN_D025","1","0","0.51826575150092447","14","0","11","0","3.4796623797912329","1","-0.65028085509936018","-49","-9"
"L18_SEED_2_CONTROL","MARGIN_DEFICIT_MEAN_D05","2","0","0.76826575150092447","14","0","11","0","3.4796623797912329","1","-0.65028085509936018","-49","-9"
"L18_SEED_2_CONTROL","LOWER_TAIL_MARGIN_Q10","3","0","0.63669160753488541","14","0","11","0","3.4796623797912329","1","-0.65028085509936018","-49","-9"
"L18_SEED_2_CONTROL","LOWER_TAIL_MARGIN_Q20","4","0","0.53745717632359469","14","0","11","0","3.4796623797912329","1","-0.65028085509936018","-49","-9"
"L18_SEED_2_CONTROL","SOFT_WORST_MARGIN_T025","5","0","0.31312798202533326","14","0","11","0","3.4796623797912329","1","-0.65028085509936018","-49","-9"
"L18_SEED_2_CONTROL","SOFT_WORST_MARGIN_T05","6","0","0.29316227285528229","14","0","11","0","3.4796623797912329","1","-0.65028085509936018","-49","-9"
"L18_SEED_2_CONTROL","SOFT_WORST_MARGIN_T1","7","0","0.28280731417593313","14","0","11","0","3.4796623797912329","1","-0.65028085509936018","-49","-9"
"L18_SEED_2_CONTROL","SEQUENCE_SURVIVAL_NLL_T025","8","0","8.5268533718908515","14","0","11","0","3.4796623797912329","1","-0.65028085509936018","-49","-9"
