configuration_id,layer,tap,condition,solver,init,lambda,converged,converged_flat,stalled,iterations,grad_norm,objective,train_ce,cal_ce,dev_ce,train_exact,cal_exact,dev_exact,selected_step,train_ce_2000,ce_coordinate
L19_SEED_1,6,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.322611828041,0.686088137486,0.664466886582,29,112,118,100,0.0157896846289,z_score
L19_SEED_1,6,AFTER_FFN,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.322611828041,0.686088137486,0.664466886582,29,112,118,,,whitened
L19_SEED_1,6,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000146489410589,0.00681286672918,0.00123739886232,6.46829605202,6.03224537772,32,40,36,,,whitened
L19_SEED_1,6,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,148,2.36599452871e-08,0.00633158717482,0.00119504581401,6.45243787911,6.01339143136,32,40,36,,,whitened
L19_SEED_1,7,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.323390574997,0.7555361929,0.763776159159,29,112,116,100,0.0170114671937,z_score
L19_SEED_1,7,AFTER_FFN,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.323390574997,0.7555361929,0.763776159159,29,112,116,,,whitened
L19_SEED_1,7,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000149206572854,0.00648629664868,0.00116171989696,5.90499232395,6.40895093488,32,40,44,,,whitened
L19_SEED_1,7,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,133,2.43140141536e-08,0.00599512591413,0.00111537373712,5.84754470542,6.35155809744,32,40,44,,,whitened
L19_SEED_1,8,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.387731533867,0.843349613833,0.861205528883,29,109,111,75,0.0163919080079,z_score
L19_SEED_1,8,AFTER_FFN,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.387731533867,0.843349613833,0.861205528883,29,109,111,,,whitened
