configuration_id,layer,tap,legacy_dev_exact,canonical_gd_dev_exact,canonical_lbfgs_dev_exact,canonical_minus_legacy_dev_exact,canonical_lbfgs_train_ce
L19_SEED_2,6,AFTER_FFN,102,73,68,-34,0.00109786030636
L19_SEED_2,7,AFTER_FFN,99,79,76,-23,0.00102996482332
L19_SEED_2,8,AFTER_FFN,94,48,47,-47,0.00103323879176
L19_SEED_2,9,AFTER_FFN,94,48,46,-48,0.00102576618535
L19_SEED_2,10,AFTER_FFN,102,37,37,-65,0.000981606674382
L19_SEED_2,11,AFTER_FFN,103,59,59,-44,0.0010650675813
L19_SEED_2,12,AFTER_FFN,102,57,57,-45,0.00105092571241
L19_SEED_2,13,AFTER_FFN,98,38,37,-61,0.00113015346053
L19_SEED_2,14,AFTER_FFN,88,38,44,-44,0.00106887720377
L19_SEED_2,15,AFTER_FFN,87,56,56,-31,0.00108509298761
L19_SEED_2,16,AFTER_FFN,86,52,51,-35,0.00114822971346
L19_SEED_2,17,AFTER_FFN,91,58,58,-33,0.00117453756977
L19_SEED_2,18,AFTER_FFN,84,43,43,-41,0.00121156012379
L19_SEED_2,18,PRE_LN_FINAL,84,51,49,-35,0.00122118242686
L19_SEED_2,18,POST_LN_FINAL,91,50,50,-41,0.00165251908152
L19_SEED_4,-1,EMBEDDING,144,144,144,0,0.268900393922
L19_SEED_4,0,AFTER_FFN,135,33,34,-101,0.000938797410732
L19_SEED_4,1,AFTER_FFN,137,50,49,-88,0.00103255761115
L19_SEED_4,2,AFTER_FFN,134,39,33,-101,0.0010072312913
L19_SEED_4,3,AFTER_FFN,127,35,31,-96,0.00106350568025
L19_SEED_4,4,AFTER_FFN,123,64,64,-59,0.00106754599121
L19_SEED_4,5,AFTER_FFN,120,26,26,-94,0.00126456792474
L19_SEED_4,6,AFTER_FFN,121,47,47,-74,0.00109991996448
L19_SEED_4,7,AFTER_FFN,120,52,51,-69,0.000986937106778
L19_SEED_4,8,AFTER_FFN,126,41,41,-85,0.00104176650808
L19_SEED_4,9,AFTER_FFN,119,53,53,-66,0.00127582252546
L19_SEED_4,10,AFTER_FFN,117,56,57,-60,0.00126859653783
L19_SEED_4,11,AFTER_FFN,112,44,44,-68,0.00115021425045
L19_SEED_4,12,AFTER_FFN,110,45,44,-66,0.0012627694651
L19_SEED_4,13,AFTER_FFN,103,32,32,-71,0.00115771407184
L19_SEED_4,14,AFTER_FFN,102,39,39,-63,0.00115939423209
L19_SEED_4,15,AFTER_FFN,102,49,49,-53,0.00113628140532
L19_SEED_4,16,AFTER_FFN,100,48,48,-52,0.00120275693399
L19_SEED_4,17,AFTER_FFN,94,45,44,-50,0.00119905255646
L19_SEED_4,18,AFTER_FFN,92,57,56,-36,0.0012167136152
L19_SEED_4,18,PRE_LN_FINAL,93,47,47,-46,0.00114158618802
L19_SEED_4,18,POST_LN_FINAL,95,55,55,-40,0.00122153507275
L18_SEED_2_CONTROL,-1,EMBEDDING,144,144,144,0,0.26890040542
L18_SEED_2_CONTROL,0,AFTER_FFN,134,42,42,-92,0.000904977970317
L18_SEED_2_CONTROL,1,AFTER_FFN,137,67,67,-70,0.000955523835058
L18_SEED_2_CONTROL,2,AFTER_FFN,118,75,75,-43,0.000993336295109
L18_SEED_2_CONTROL,3,AFTER_FFN,117,63,63,-54,0.00105111887092
L18_SEED_2_CONTROL,4,AFTER_FFN,103,83,83,-20,0.000951747714091
L18_SEED_2_CONTROL,5,AFTER_FFN,102,78,78,-24,0.000949678444153
L18_SEED_2_CONTROL,6,AFTER_FFN,96,60,59,-37,0.000959902026537
L18_SEED_2_CONTROL,7,AFTER_FFN,92,35,34,-58,0.00126509134901
L18_SEED_2_CONTROL,8,AFTER_FFN,91,27,27,-64,0.00103951810184
L18_SEED_2_CONTROL,9,AFTER_FFN,91,31,31,-60,0.0010116087758
L18_SEED_2_CONTROL,10,AFTER_FFN,97,52,51,-46,0.00116490553424
L18_SEED_2_CONTROL,11,AFTER_FFN,92,51,44,-48,0.000980024026459
L18_SEED_2_CONTROL,12,AFTER_FFN,95,41,32,-63,0.00102470037154
L18_SEED_2_CONTROL,13,AFTER_FFN,91,57,56,-35,0.00100592942501
L18_SEED_2_CONTROL,14,AFTER_FFN,82,34,34,-48,0.00112119154799
L18_SEED_2_CONTROL,15,AFTER_FFN,80,29,29,-51,0.00110054562224
L18_SEED_2_CONTROL,16,AFTER_FFN,81,46,46,-35,0.00103124715207
L18_SEED_2_CONTROL,17,AFTER_FFN,78,65,65,-13,0.00109323299277
L18_SEED_2_CONTROL,17,PRE_LN_FINAL,78,59,58,-20,0.0010353832862
L18_SEED_2_CONTROL,17,POST_LN_FINAL,95,50,48,-47,0.00112347625115
L19_SEED_1,11,NORM1,103,39,29,-74,0.00128271005258
L19_SEED_1,11,AFTER_ATTN,104,38,34,-70,0.00128247786163
L19_SEED_1,12,NORM1,101,39,37,-64,0.00136023141853
L19_SEED_1,12,AFTER_ATTN,107,32,32,-75,0.00132700632503
L19_SEED_1,13,NORM1,93,35,35,-58,0.00128648026973
L19_SEED_1,13,AFTER_ATTN,99,27,27,-72,0.00141292827902
L19_SEED_1,14,NORM1,93,25,25,-68,0.00134974135677
L19_SEED_1,14,AFTER_ATTN,100,38,32,-68,0.00144289775698
L19_SEED_1,15,NORM1,90,17,16,-74,0.00140853575693
L19_SEED_1,15,AFTER_ATTN,97,48,51,-46,0.00137072171488
L19_SEED_1,16,NORM1,90,21,21,-69,0.00143506413364
L19_SEED_1,16,AFTER_ATTN,94,33,41,-53,0.00160096923839
L19_SEED_1,17,NORM1,89,24,24,-65,0.00123388214718
L19_SEED_1,17,AFTER_ATTN,88,37,37,-51,0.00118168078503
L19_SEED_1,18,NORM1,89,41,41,-48,0.00119420201154
