configuration_id,checkpoint_step,rep,rep_name,dataset,eta2,effective_rank,norm_ratio,hidden_margin_midmedian,sign_agreement,alignment_cosine
L19_SEED_2,4,20,PRE_LN_FINAL,MARGIN_DEVELOPMENT_V1,0.771870121027,1.29741950084,6.30958146913,0.130265629834,0.548611111111,0.322663114284
L19_SEED_2,4,20,PRE_LN_FINAL,TRAIN,0.977793152498,1.22585803284,6.42103540199,0.59649407006,0.28125,0
L19_SEED_2,4,21,POST_LN_FINAL,MARGIN_DEVELOPMENT_V1,0.718673533965,1.61020376833,9.05682291362,0.266643431492,0.590277777778,0.315518282306
L19_SEED_2,4,21,POST_LN_FINAL,TRAIN,0.972226829237,1.48705988257,9.18328574631,0.629380648135,0.28125,0
L19_SEED_2,128,0,L0_EMBEDDED,MARGIN_DEVELOPMENT_V1,1,7.11499993818,1,0.556309247807,0.666666666667,0.219441957929
L19_SEED_2,128,0,L0_EMBEDDED,TRAIN,0.797049174846,6.51839192145,1,0.466783821912,0.75,0
L19_SEED_2,128,4,L4_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.980295298608,2.63498254661,7.11315577838,2.08376778459,0.673611111111,0.647109808382
L19_SEED_2,128,4,L4_BLOCK_OUT,TRAIN,0.82335572012,2.48744994424,7.62774603926,2.22139536913,0.71875,0
L19_SEED_2,128,8,L8_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.949458273606,2.82251981648,16.4629770867,3.47172767727,0.701388888889,0.708931214791
L19_SEED_2,128,8,L8_BLOCK_OUT,TRAIN,0.830620839408,2.67052827604,17.4159059265,4.54053475358,0.6875,0
L19_SEED_2,128,12,L12_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.928258494692,2.82300156942,26.929050273,5.61460559458,0.715277777778,0.730989439223
L19_SEED_2,128,12,L12_BLOCK_OUT,TRAIN,0.836759048801,2.6705579114,28.4644653032,6.98849212358,0.6875,0
L19_SEED_2,128,16,L16_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.903090173094,2.71274282725,42.4942961292,8.07693198402,0.743055555556,0.714762451916
L19_SEED_2,128,16,L16_BLOCK_OUT,TRAIN,0.849752774549,2.56095868252,44.7056387978,10.8088601962,0.65625,0
L19_SEED_2,128,19,L19_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.859466523847,2.9048739977,56.0823827905,8.96748639961,0.770833333333,0.683364954653
L19_SEED_2,128,19,L19_BLOCK_OUT,TRAIN,0.872634866001,2.66285558062,58.3289554779,12.1261560027,0.65625,0
L19_SEED_2,128,20,PRE_LN_FINAL,MARGIN_DEVELOPMENT_V1,0.860007713616,2.91385438736,53.973307344,8.8259370159,0.770833333333,0.685646091912
L19_SEED_2,128,20,PRE_LN_FINAL,TRAIN,0.871929039876,2.66241645857,56.1834432128,11.6807518345,0.65625,0
L19_SEED_2,128,21,POST_LN_FINAL,MARGIN_DEVELOPMENT_V1,0.862283388876,2.94238483636,8.52327545688,1.32047192189,0.770833333333,0.676882424902
L19_SEED_2,128,21,POST_LN_FINAL,TRAIN,0.865493573655,2.81731604193,8.52008864578,1.90452717537,0.65625,0
L19_SEED_2,320,0,L0_EMBEDDED,MARGIN_DEVELOPMENT_V1,1,7.11676303906,1,0.56153921606,0.6875,0.233605611897
L19_SEED_2,320,0,L0_EMBEDDED,TRAIN,0.796213391791,6.52147422459,1,0.470036267352,0.8125,0
L19_SEED_2,320,1,L1_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.990482057673,4.57913385092,2.17358150159,1.04081045361,0.6875,0.497041631217
L19_SEED_2,320,1,L1_BLOCK_OUT,TRAIN,0.815792555794,4.2798287439,2.26475099614,0.842234686505,0.8125,0
L19_SEED_2,320,2,L2_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.987602766061,3.92104940551,3.62959069164,1.55000685913,0.6875,0.597347946312
L19_SEED_2,320,2,L2_BLOCK_OUT,TRAIN,0.845363666321,3.67258877863,3.8104968064,1.27245291412,0.8125,0
L19_SEED_2,320,3,L3_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.98509013438,3.12570177543,5.51074299624,2.0110770659,0.6875,0.646378666077
L19_SEED_2,320,3,L3_BLOCK_OUT,TRAIN,0.828431287087,2.89647450751,5.85358826338,2.00063270674,0.78125,0
L19_SEED_2,320,4,L4_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.979939418909,3.02569208673,7.61862147377,2.38694618598,0.6875,0.67165699817
L19_SEED_2,320,4,L4_BLOCK_OUT,TRAIN,0.824729350855,2.83883605868,8.13004736421,2.46073882727,0.75,0
L19_SEED_2,320,5,L5_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.974105271134,3.11394464053,9.79719223808,2.97378905717,0.6875,0.688900018538
L19_SEED_2,320,5,L5_BLOCK_OUT,TRAIN,0.826034453908,2.91955995168,10.3673749337,2.97360069219,0.75,0
L19_SEED_2,320,6,L6_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.962762562991,3.30966233076,12.4035496533,3.23802774317,0.6875,0.712370070438
L19_SEED_2,320,6,L6_BLOCK_OUT,TRAIN,0.830533743793,3.10319206892,13.0945495722,3.85934011142,0.75,0
L19_SEED_2,320,7,L7_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.958233646979,3.16282255263,15.590044803,3.80668097237,0.694444444444,0.722138559281
L19_SEED_2,320,7,L7_BLOCK_OUT,TRAIN,0.825762430073,3.01807524152,16.5580941077,5.33428502339,0.75,0
