configuration_id,checkpoint_step,rep,rep_name,selected_step,finite,nonfinite_step,nonfinite_what,train_ce,train_token_exact,cal_ce,cal_token_exact,max_logit_abs,dev_tf_token_exact,dev_tf_mean_rank,dev_tf_mean_nll,dev_fr_token_exact,dev_fr_sequence_exact,dev_fr_nll,dev_head_ctx_token_exact,dev_head_ctx_seq_exact,step2000_train_ce,step2000_train_token_exact
L19_SEED_2,128,8,L8_BLOCK_OUT,125,true,-1,,0.23139693417,32,0.833213498368,90,1.2381757134,90,1.4375,0.763873074349,34,2,3.91755762571,51,2,0.00540464553851,32
L19_SEED_2,128,12,L12_BLOCK_OUT,100,true,-1,,0.312979679608,31,1.15323413883,87,1.16659105989,88,1.54861111111,0.996272756678,48,5,3.39516078001,56,5,0.00634463580818,32
L19_SEED_2,128,16,L16_BLOCK_OUT,100,true,-1,,0.33007964958,31,1.44309369069,79,1.16170653836,82,1.68055555556,1.17300074898,31,1,3.94385030634,51,1,0.00796188192947,32
L19_SEED_2,128,19,L19_BLOCK_OUT,75,true,-1,,0.451830863255,30,1.64216066946,63,0.828105378652,69,2.14583333333,1.3179768401,24,0,3.84088913513,45,0,0.00943041024164,32
L19_SEED_2,128,20,PRE_LN_FINAL,75,true,-1,,0.448276967752,30,1.63082784394,64,0.835262461377,69,2.15972222222,1.30286113451,24,0,3.82401114573,45,0,0.00928912355134,32
L19_SEED_2,128,21,POST_LN_FINAL,50,true,-1,,0.671890859749,29,1.72920039825,74,0.595874437597,83,2.0625,1.4422525302,34,2,3.21363083667,50,2,0.0149883772174,32
L19_SEED_2,320,0,L0_EMBEDDED,2000,true,-1,,0.26840655769,28,0.103093851008,144,1.72863407818,144,1,0.103093851008,144,24,0.103093851008,79,10,0.26840655769,28
L19_SEED_2,320,1,L1_BLOCK_OUT,225,true,-1,,0.205594322963,29,0.202912855037,139,1.48495303306,138,1.04166666667,0.210853728206,127,20,1.22399183921,73,7,0.0231705610796,32
L19_SEED_2,320,2,L2_BLOCK_OUT,225,true,-1,,0.18242598367,31,0.265110678201,126,1.47369056245,124,1.13888888889,0.277141184256,87,11,2.98489791382,69,6,0.0127403475592,32
L19_SEED_2,320,3,L3_BLOCK_OUT,225,true,-1,,0.164242911336,31,0.364896715316,124,1.64465969529,119,1.17361111111,0.365010104659,71,7,3.55416724899,68,3,0.0100048865926,32
L19_SEED_2,320,4,L4_BLOCK_OUT,200,true,-1,,0.164593636301,31,0.457245702751,119,1.48286316246,119,1.17361111111,0.42961138482,77,8,3.1911958992,68,5,0.00755257718145,32
L19_SEED_2,320,5,L5_BLOCK_OUT,175,true,-1,,0.177231886323,32,0.529141636784,107,1.24280111585,106,1.27083333333,0.496249020593,51,2,3.84382619875,64,2,0.00654964910286,32
L19_SEED_2,320,6,L6_BLOCK_OUT,150,true,-1,,0.191887323364,32,0.618533500725,102,1.28792770975,104,1.29166666667,0.577258183357,50,2,3.73971152097,63,2,0.00583684838578,32
L19_SEED_2,320,7,L7_BLOCK_OUT,150,true,-1,,0.203906414397,32,0.700583697001,100,1.22852671113,102,1.32638888889,0.65377488421,48,2,3.77962410972,60,2,0.00640787984392,32
L19_SEED_2,320,8,L8_BLOCK_OUT,125,true,-1,,0.228159608672,31,0.779123580206,95,1.12508035713,99,1.35416666667,0.711951425726,54,5,3.27993687335,66,5,0.00601748698727,32
L19_SEED_2,320,9,L9_BLOCK_OUT,125,true,-1,,0.236679763867,31,0.887621643816,88,1.14307174808,94,1.46527777778,0.806468190675,50,5,3.41878806285,64,5,0.00670624873912,32
L19_SEED_2,320,10,L10_BLOCK_OUT,125,true,-1,,0.251118328603,31,0.964825623389,87,1.09638111103,94,1.47222222222,0.843786635788,50,5,3.40602937574,63,5,0.00745778244823,32
L19_SEED_2,320,11,L11_BLOCK_OUT,100,true,-1,,0.309164385747,30,1.04544439075,98,1.00209652141,102,1.45833333333,0.897754112083,49,6,3.32198669999,64,6,0.00791488969768,32
L19_SEED_2,320,12,L12_BLOCK_OUT,100,true,-1,,0.301748947022,30,1.12800039393,97,1.03081824817,103,1.53472222222,0.977396267736,53,7,3.22725557326,65,7,0.00763865025788,32
L19_SEED_2,320,13,L13_BLOCK_OUT,100,true,-1,,0.315710547832,30,1.15417932137,98,1.06632505615,102,1.48611111111,0.984803689826,52,7,3.28195928254,64,7,0.00835380005915,32
L19_SEED_2,320,14,L14_BLOCK_OUT,100,true,-1,,0.322947812188,30,1.22030992645,92,1.09346665792,98,1.56944444444,1.02498785968,42,4,3.70810338766,61,4,0.00899699563532,32
L19_SEED_2,320,15,L15_BLOCK_OUT,100,true,-1,,0.317060352738,31,1.34433748462,79,1.10861788476,88,1.67361111111,1.11756401057,41,3,3.75885494085,59,3,0.00868705297714,32
