configuration_id,checkpoint_step,rep,rep_name,probe_dev_fr_token_exact,head_dev_fr_token_exact,probe_minus_head_fr,probe_dev_tf_token_exact,probe_train_tf_token_exact,probe_cal_fr_token_exact
L19_SEED_4,320,13,L13_BLOCK_OUT,50,86,-36,110,30,81
L19_SEED_4,320,14,L14_BLOCK_OUT,50,86,-36,103,30,80
L19_SEED_4,320,15,L15_BLOCK_OUT,48,86,-38,102,30,76
L19_SEED_4,320,16,L16_BLOCK_OUT,48,86,-38,102,30,61
L19_SEED_4,320,17,L17_BLOCK_OUT,48,86,-38,100,30,53
L19_SEED_4,320,18,L18_BLOCK_OUT,36,86,-50,94,30,47
L19_SEED_4,320,19,L19_BLOCK_OUT,32,86,-54,92,30,47
L19_SEED_4,320,20,PRE_LN_FINAL,33,86,-53,93,30,47
L19_SEED_4,320,21,POST_LN_FINAL,45,86,-41,95,30,55
L18_SEED_2_CONTROL,4,0,L0_EMBEDDED,144,29,115,144,28,144
L18_SEED_2_CONTROL,4,4,L4_BLOCK_OUT,84,29,55,122,30,80
L18_SEED_2_CONTROL,4,8,L8_BLOCK_OUT,52,29,23,92,31,49
L18_SEED_2_CONTROL,4,12,L12_BLOCK_OUT,45,29,16,75,31,41
L18_SEED_2_CONTROL,4,16,L16_BLOCK_OUT,42,29,13,58,30,37
L18_SEED_2_CONTROL,4,18,L18_BLOCK_OUT,45,29,16,62,30,36
L18_SEED_2_CONTROL,4,19,PRE_LN_FINAL,42,29,13,58,30,39
L18_SEED_2_CONTROL,4,20,POST_LN_FINAL,25,29,-4,40,32,13
L18_SEED_2_CONTROL,160,0,L0_EMBEDDED,144,61,83,144,28,144
L18_SEED_2_CONTROL,160,4,L4_BLOCK_OUT,77,61,16,117,31,73
L18_SEED_2_CONTROL,160,8,L8_BLOCK_OUT,32,61,-29,90,32,40
L18_SEED_2_CONTROL,160,12,L12_BLOCK_OUT,49,61,-12,95,31,42
L18_SEED_2_CONTROL,160,16,L16_BLOCK_OUT,32,61,-29,82,31,27
L18_SEED_2_CONTROL,160,18,L18_BLOCK_OUT,27,61,-34,76,31,26
L18_SEED_2_CONTROL,160,19,PRE_LN_FINAL,29,61,-32,78,31,26
L18_SEED_2_CONTROL,160,20,POST_LN_FINAL,50,61,-11,91,30,42
L18_SEED_2_CONTROL,320,0,L0_EMBEDDED,144,60,84,144,28,144
