"condition","run","status","repeats","qnn_execute_successes","qnn_execute_return_code","app_write_hashes_unchanged","app_read_poison_residual_elements","all_outputs_finite","nonfinite_elements","source_node_count","source_tensor_count","actual_output_count","observed_tensor","unique_canonical_hashes","canonical_hash_rle","first_different_run","max_abs_difference","observed_tensor_nonfinite_elements"
"pre_fix_tap_backward","rootcause-tap-backward-w2-07","SUCCESS","100","100","0","True","0","True","0","98","153","22","DSCORES","1","0:1-100","-1","0","0"
"pre_fix_tap_backward","rootcause-tap-backward-w2-08","SUCCESS","100","100","0","True","0","True","0","98","153","22","DSCORES","1","0:1-100","-1","0","0"
"pre_fix_tap_backward","rootcause-tap-backward-w2-09","SUCCESS","100","100","0","True","0","True","0","98","153","22","DSCORES","1","0:1-100","-1","0","0"
"pre_fix_tap_backward","rootcause-tap-backward-w2-10","SUCCESS","100","100","0","True","0","True","0","98","153","22","DSCORES","1","0:1-100","-1","0","0"
"pre_fix_tap_backward","rootcause-tap-backward-w2-11","SUCCESS","100","100","0","True","0","True","0","98","153","22","DSCORES","1","0:1-100","-1","0","0"
"pre_fix_tap_backward","rootcause-tap-backward-w2-12","SUCCESS","100","100","0","True","0","True","0","98","153","22","DSCORES","1","0:1-100","-1","0","0"
"pre_fix_tap_dscores_only","rootcause-tap-dscores-w1-01","SUCCESS","100","100","0","True","0","True","0","98","153","19","DSCORES","1","0:1-100","-1","0","0"
"pre_fix_tap_dscores_only","rootcause-tap-dscores-w1-02","SUCCESS","100","100","0","True","0","True","0","98","153","19","DSCORES","1","0:1-100","-1","0","0"
"pre_fix_tap_dscores_only","rootcause-tap-dscores-w1-03","SUCCESS","100","100","0","True","0","True","0","98","153","19","DSCORES","1","0:1-100","-1","0","0"
"pre_fix_tap_dscores_only","rootcause-tap-dscores-w1-04","SUCCESS","100","100","0","True","0","True","0","98","153","19","DSCORES","1","0:1-100","-1","0","0"
"pre_fix_tap_dscores_only","rootcause-tap-dscores-w1-05","FAILED","100","100","0","True","0","False","126","98","153","19","DSCORES","2","0:1-82,1:83-100","83","5548.0021","36"
"pre_fix_tap_dscores_only","rootcause-tap-dscores-w1-06","FAILED","100","100","0","True","0","False","348","98","153","19","DSCORES","2","0:1-42,1:43-100","43","8392.00017","58"
