"mode","case_id","step","max_abs_difference","mean_abs_difference","relative_l2_difference","argmax_match","top3_match"
"oracle","s4_p0","0","18.18080997","4.271334978","1.661078141","false","false"
"oracle","s4_p0","1","4.865506172","1.394759782","0.3078609471","true","false"
"oracle","s4_p0","2","6.027441025","1.64572373","0.2725375784","true","false"
"oracle","s4_p0","3","6.570334435","2.088361657","0.5305468207","true","false"
"oracle","s4_p0","4","18.18080997","4.271334978","1.661078141","false","false"
"oracle","s4_p0","5","4.865506172","1.394759782","0.3078609471","true","false"
"oracle","s4_p0","6","6.027441025","1.64572373","0.2725375784","true","false"
"oracle","s4_p0","7","6.570334435","2.088361657","0.5305468207","true","false"
"oracle","s4_p1","0","2.256126806","0.625011113","0.1510217884","true","false"
"oracle","s4_p1","1","4.396284103","1.002452162","0.2196027985","true","false"
"oracle","s4_p1","2","3.122352123","1.118621051","0.1798612183","true","false"
"oracle","s4_p1","3","6.612849474","2.000124529","0.3054348406","true","true"
"oracle","s4_p1","4","2.256126806","0.625011113","0.1510217884","true","false"
"oracle","s4_p1","5","4.396284103","1.002452162","0.2196027985","true","false"
"oracle","s4_p1","6","3.122352123","1.118621051","0.1798612183","true","false"
"oracle","s4_p1","7","6.612849474","2.000124529","0.3054348406","true","true"
"oracle","s4_p2","0","3.730540276","1.074517967","0.2965855876","true","false"
"oracle","s4_p2","1","4.692937374","1.622884758","0.2175937456","true","true"
"oracle","s4_p2","2","3.730540276","1.074517967","0.2965855876","true","false"
"oracle","s4_p2","3","4.692937374","1.622884758","0.2175937456","true","true"
"oracle","s4_p2","4","3.730540276","1.074517967","0.2965855876","true","false"
"oracle","s4_p2","5","4.692937374","1.622884758","0.2175937456","true","true"
"oracle","s4_p2","6","3.730540276","1.074517967","0.2965855876","true","false"
"oracle","s4_p2","7","4.692937374","1.622884758","0.2175937456","true","true"
"oracle","s4_p3","0","2.890278816","1.137508497","0.1436881502","true","false"
"oracle","s4_p3","1","2.460415125","1.432241011","0.1796222718","true","false"
"oracle","s4_p3","2","3.433617115","2.054561792","0.3239045773","true","true"
"oracle","s4_p3","3","2.890278816","1.137508497","0.1436881502","true","false"
"oracle","s4_p3","4","2.460415125","1.432241011","0.1796222718","true","false"
"oracle","s4_p3","5","3.433617115","2.054561792","0.3239045773","true","true"
"oracle","s4_p3","6","2.890278816","1.137508497","0.1436881502","true","false"
"oracle","s4_p3","7","2.460415125","1.432241011","0.1796222718","true","false"
"oracle","s5_p0","0","9.227263451","2.044745317","0.4222722061","true","true"
"oracle","s5_p0","1","10.97710156","7.012922376","0.5510359486","true","false"
"oracle","s5_p0","2","10.95131588","6.764403245","0.7619753293","true","false"
"oracle","s5_p0","3","14.48026276","4.258631047","0.7804424873","true","false"
"oracle","s5_p0","4","9.227263451","2.044745317","0.4222722061","true","true"
"oracle","s5_p0","5","10.97710156","7.012922376","0.5510359486","true","false"
"oracle","s5_p0","6","10.95131588","6.764403245","0.7619753293","true","false"
"oracle","s5_p0","7","14.48026276","4.258631047","0.7804424873","true","false"
"oracle","s5_p1","0","8.159503937","2.716712124","0.568129917","true","false"
"oracle","s5_p1","1","8.340632677","2.164550848","0.4069785157","true","false"
"oracle","s5_p1","2","9.252326369","4.35266437","0.7502461889","true","false"
"oracle","s5_p1","3","7.034714699","2.252682467","0.4324205783","true","false"
"oracle","s5_p1","4","8.159503937","2.716712124","0.568129917","true","false"
"oracle","s5_p1","5","8.340632677","2.164550848","0.4069785157","true","false"
"oracle","s5_p1","6","9.252326369","4.35266437","0.7502461889","true","false"
"oracle","s5_p1","7","7.034714699","2.252682467","0.4324205783","true","false"
"oracle","s5_p2","0","18.59372616","4.893542765","0.45528445","true","false"
"oracle","s5_p2","1","12.0059967","1.867149435","0.2884440958","true","true"
"oracle","s5_p2","2","18.59372616","4.893542765","0.45528445","true","false"
"oracle","s5_p2","3","12.0059967","1.867149435","0.2884440958","true","true"
"oracle","s5_p2","4","18.59372616","4.893542765","0.45528445","true","false"
"oracle","s5_p2","5","12.0059967","1.867149435","0.2884440958","true","true"
"oracle","s5_p2","6","18.59372616","4.893542765","0.45528445","true","false"
"oracle","s5_p2","7","12.0059967","1.867149435","0.2884440958","true","true"
"oracle","s5_p3","0","11.0500741","2.640546218","0.3928092469","true","false"
"oracle","s5_p3","1","12.31209755","2.448221026","0.3777409389","true","false"
"oracle","s5_p3","2","15.40579128","3.880888146","0.4662798229","true","false"
"oracle","s5_p3","3","11.0500741","2.640546218","0.3928092469","true","false"
"oracle","s5_p3","4","12.31209755","2.448221026","0.3777409389","true","false"
"oracle","s5_p3","5","15.40579128","3.880888146","0.4662798229","true","false"
"oracle","s5_p3","6","11.0500741","2.640546218","0.3928092469","true","false"
"oracle","s5_p3","7","12.31209755","2.448221026","0.3777409389","true","false"
"free","s1_p0","0","3.098489285","0.9649821613","0.2156708608","true","false"
"free","s1_p0","1","8.695556164","1.857738218","0.4743473215","true","true"
"free","s1_p0","2","11.92909771","2.776474507","0.4343694963","true","true"
"free","s1_p0","3","4.11467123","2.264467614","0.4394811068","true","false"
"free","s1_p0","4","3.098489285","0.9649821613","0.2156708608","true","false"
"free","s1_p0","5","8.695556164","1.857738218","0.4743473215","true","true"
"free","s1_p0","6","11.92909771","2.776474507","0.4343694963","true","true"
"free","s1_p0","7","4.11467123","2.264467614","0.4394811068","true","false"
"free","s1_p1","0","4.96905756","2.771576187","0.7340570969","true","true"
"free","s1_p1","1","6.21908617","1.758244516","0.3607153771","true","false"
"free","s1_p1","2","5.709974289","1.701172005","0.3647902746","true","false"
"free","s1_p1","3","6.589537621","1.871103336","0.3096017234","true","true"
"free","s1_p1","4","4.96905756","2.771576187","0.7340570969","true","true"
"free","s1_p1","5","6.21908617","1.758244516","0.3607153771","true","false"
"free","s1_p1","6","5.709974289","1.701172005","0.3647902746","true","false"
"free","s1_p1","7","6.589537621","1.871103336","0.3096017234","true","true"
"free","s1_p2","0","7.067180634","1.772578935","0.2725330508","true","false"
"free","s1_p2","1","6.954557419","1.918546626","0.3024896073","true","true"
"free","s1_p2","2","7.067180634","1.772578935","0.2725330508","true","false"
"free","s1_p2","3","6.954557419","1.918546626","0.3024896073","true","true"
"free","s1_p2","4","7.067180634","1.772578935","0.2725330508","true","false"
"free","s1_p2","5","6.954557419","1.918546626","0.3024896073","true","true"
"free","s1_p2","6","7.067180634","1.772578935","0.2725330508","true","false"
"free","s1_p2","7","6.954557419","1.918546626","0.3024896073","true","true"
"free","s1_p3","0","3.792518616","1.55815994","0.2856522116","true","false"
"free","s1_p3","1","3.705727816","1.081078516","0.1932690735","true","false"
"free","s1_p3","2","6.378779411","1.664159249","0.2263808133","true","false"
"free","s1_p3","3","3.792518616","1.55815994","0.2856522116","true","false"
"free","s1_p3","4","3.705727816","1.081078516","0.1932690735","true","false"
"free","s1_p3","5","6.378779411","1.664159249","0.2263808133","true","false"
"free","s1_p3","6","3.792518616","1.55815994","0.2856522116","true","false"
"free","s1_p3","7","3.705727816","1.081078516","0.1932690735","true","false"
"free","s2_p0","0","12.49418449","2.527902823","0.254479982","true","false"
"free","s2_p0","1","7.775080681","3.969031127","0.6860446827","true","false"
"free","s2_p0","2","9.898118973","2.03425754","0.2072183845","true","false"
"free","s2_p0","3","7.509158731","3.197547175","0.590694639","true","false"
"free","s2_p0","4","12.49418449","2.527902823","0.254479982","true","false"
"free","s2_p0","5","7.775080681","3.969031127","0.6860446827","true","false"
"free","s2_p0","6","9.898118973","2.03425754","0.2072183845","true","false"
"free","s2_p0","7","7.509158731","3.197547175","0.590694639","true","false"
"free","s2_p1","0","4.921932459","1.704197547","0.4609678687","true","false"
"free","s2_p1","1","8.722085953","1.716449639","0.2353888441","true","false"
"free","s2_p1","2","7.041042566","2.034637887","0.226437758","true","false"
"free","s2_p1","3","10.876122","2.752892557","0.4756799151","true","false"
"free","s2_p1","4","4.921932459","1.704197547","0.4609678687","true","false"
"free","s2_p1","5","8.722085953","1.716449639","0.2353888441","true","false"
"free","s2_p1","6","7.041042566","2.034637887","0.226437758","true","false"
